Id,Label,timeset,0,1,2,3,4,5,6,7,8,9,indegree,outdegree,Degree,modularity_class,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub
n1,lukewhito,,true,"a:1:{i:0;O:8:""stdClass"":5:{s:11:""screen_name"";s:7:""nbnnews"";s:4:""name"";s:8:""NBN News"";s:2:""id"";i:17332980;s:6:""id_str"";s:8:""17332980"";s:7:""indices"";a:2:{i:0;i:3;i:1;i:11;}}}",17671872,26766,4686,2397,2008-11-27 01:53:16,"Activist, organiser, advisor, historian and trainer.",Sydney,,0,1,1,6,0,1,1,1,1,1,0,0,0.00172
n2,contractsaus,,true,"a:1:{i:0;O:8:""stdClass"":5:{s:11:""screen_name"";s:7:""nbnnews"";s:4:""name"";s:8:""NBN News"";s:2:""id"";i:17332980;s:6:""id_str"";s:8:""17332980"";s:7:""indices"";a:2:{i:0;i:3;i:1;i:11;}}}",350683618,714,468,58,2011-08-08 00:42:49,,"Sydney, Australia",,0,1,1,6,0,1,1,1,1,1,0,0,0.00172
n7,neil_daws,,true,"a:4:{i:0;O:8:""stdClass"":5:{s:11:""screen_name"";s:11:""YallopDiana"";s:4:""name"";s:12:""Diana Yallop"";s:2:""id"";i:863356087486996480;s:6:""id_str"";s:18:""863356087486996480"";s:7:""indices"";a:2:{i:0;i:0;i:1;i:12;}}i:1;O:8:""stdClass"":5:{s:11:""screen_name"";s:13:""PressClubAust"";s:4:""name"";s:19:""National Press Club"";s:2:""id"";i:22439643;s:6:""id_str"";s:8:""22439643"";s:7:""indices"";a:2:{i:0;i:13;i:1;i:27;}}i:2;O:8:""stdClass"":5:{s:11:""screen_name"";s:7:""abcnews"";s:4:""name"";s:8:""ABC News"";s:2:""id"";i:2768501;s:6:""id_str"";s:7:""2768501"";s:7:""indices"";a:2:{i:0;i:28;i:1;i:36;}}i:3;O:8:""stdClass"":5:{s:11:""screen_name"";s:11:""SkyNewsAust"";s:4:""name"";s:18:""Sky News Australia"";s:2:""id"";i:16834659;s:6:""id_str"";s:8:""16834659"";s:7:""indices"";a:2:{i:0;i:37;i:1;i:49;}}}",703741154613792768,5019,418,74,2016-02-27 19:39:00,,,,0,4,4,11,0,4,4,1,1,1,0,0,0.005611
n13,wonderi39063030,,true,"a:2:{i:0;O:8:""stdClass"":5:{s:11:""screen_name"";s:13:""TAFEeducation"";s:4:""name"";s:11:""Adam Curlis"";s:2:""id"";i:2336306731;s:6:""id_str"";s:10:""2336306731"";s:7:""indices"";a:2:{i:0;i:3;i:1;i:17;}}i:1;O:8:""stdClass"":5:{s:11:""screen_name"";s:11:""JodiMcKayMP"";s:4:""name"";s:10:""Jodi McKay"";s:2:""id"";i:2495851202;s:6:""id_str"";s:10:""2495851202"";s:7:""indices"";a:2:{i:0;i:20;i:1;i:32;}}}",1095601710913843201,35074,4968,565,2019-02-13 03:32:57,"Flood,Drought,Fire,Virus,Injury=you TO can end up homeless. Following and(a lot of)Re/tweeting info from worldwide-Media-Science-Nature-Music-Tweeters-FYI only",Australia,,0,4,4,6,0,4,4,1,1,1,0,0,0.031902
n15,uptownerd,,true,"a:1:{i:0;O:8:""stdClass"":5:{s:11:""screen_name"";s:8:""Utopiana"";s:4:""name"";s:14:""Celeste Liddle"";s:2:""id"";i:9950542;s:6:""id_str"";s:7:""9950542"";s:7:""indices"";a:2:{i:0;i:0;i:1;i:9;}}}",73613523,9329,230,359,2009-09-12 06:06:39,"On Whadjuk Noongar land. Always was, always will be. BLM. Ally 🏳️‍🌈🌱☮️🌏🤗 Sewer rat 🐁 She/Her","Perth, WA",,0,1,1,0,0,1,1,3,0.5,0.611111,0,0,0.00329
n17,utopiana,,true,"a:1:{i:0;O:8:""stdClass"":5:{s:11:""screen_name"";s:11:""TheRedRobyn"";s:4:""name"";s:38:""hey media, the words LIES & LIAR exist"";s:2:""id"";i:2459812171;s:6:""id_str"";s:10:""2459812171"";s:7:""indices"";a:2:{i:0;i:0;i:1;i:12;}}}",9950542,19754,3062,41277,2007-11-04 18:50:06,"Arrernte, Unionist, feminist, @EurekaStreet column, freelance commentator. Accidentally anarchic. Middle-aged punk. Views on this acc my own. Always ANTIFA.","Melbourne, Australia",1,14,1,15,0,14,1,15,2,0.666667,0.75,16,0.066635,0.003226
n22,chaos_emulator,,true,"a:1:{i:0;O:8:""stdClass"":5:{s:11:""screen_name"";s:8:""Utopiana"";s:4:""name"";s:14:""Celeste Liddle"";s:2:""id"";i:9950542;s:6:""id_str"";s:7:""9950542"";s:7:""indices"";a:2:{i:0;i:0;i:1;i:9;}}}",1025278811540152320,188,387,56,2018-08-03 03:14:52,"Anthro Hons student. Inequities, health, environment, gender, geographies of belonging. They/Her. Living on unceded Wurundjeri land.","Melbourne, Victoria",,0,1,1,0,0,1,1,3,0.5,0.611111,0,0,0.00329
n23,clairendestine,,true,"a:1:{i:0;O:8:""stdClass"":5:{s:11:""screen_name"";s:8:""Utopiana"";s:4:""name"";s:14:""Celeste Liddle"";s:2:""id"";i:9950542;s:6:""id_str"";s:7:""9950542"";s:7:""indices"";a:2:{i:0;i:0;i:1;i:9;}}}",369066758,1059,289,101,2011-09-06 14:15:59,🖤 Avatar of Wrath | Rage with the Fire of a Thousand Suns | Social Justice Warlock | She/her | DMs open 🖤,Whadjuk Noongar Country,,0,1,1,0,0,1,1,3,0.5,0.611111,0,0,0.00329
n24,flight_refunds,,true,"a:2:{i:0;O:8:""stdClass"":5:{s:11:""screen_name"";s:14:""chaos_emulator"";s:4:""name"";s:16:""Memento Moriarty"";s:2:""id"";i:1025278811540152320;s:6:""id_str"";s:19:""1025278811540152320"";s:7:""indices"";a:2:{i:0;i:3;i:1;i:18;}}i:1;O:8:""stdClass"":5:{s:11:""screen_name"";s:8:""Utopiana"";s:4:""name"";s:14:""Celeste Liddle"";s:2:""id"";i:9950542;s:6:""id_str"";s:7:""9950542"";s:7:""indices"";a:2:{i:0;i:20;i:1;i:29;}}}",211830847,925291,385,11915,2010-11-04 07:35:42,"Flight disruption, delay or cancellation in last 6 yrs? Get upto £540 compensation per person. Check your flight at https://t.co/yw8MqfIZr0 and find out in seconds","London, UK",,0,1,1,0,0,1,1,3,0.5,0.611111,0,0,0.00329
n32,mackaysuzie,,true,"a:1:{i:0;O:8:""stdClass"":5:{s:11:""screen_name"";s:11:""JodiMcKayMP"";s:4:""name"";s:10:""Jodi McKay"";s:2:""id"";i:2495851202;s:6:""id_str"";s:10:""2495851202"";s:7:""indices"";a:2:{i:0;i:3;i:1;i:15;}}}",1038235795,1070784,485,6027,2012-12-26 17:32:33,Twitter Platinum Super User and frequent troll apparently and deranged imbecile recording to Bevan Shields,,,12,0,12,10,12,0,12,0,0,0,0,0.096383,0
