Id,Label,timeset,0,1,2,3,4,5,6,7,8,9,indegree,outdegree,Degree,componentnumber,strongcompnum,modularity_class
n1,lukewhito,,true,"a:1:{i:0;O:8:""stdClass"":5:{s:11:""screen_name"";s:7:""nbnnews"";s:4:""name"";s:8:""NBN News"";s:2:""id"";i:17332980;s:6:""id_str"";s:8:""17332980"";s:7:""indices"";a:2:{i:0;i:3;i:1;i:11;}}}",17671872,26766,4686,2397,2008-11-27 01:53:16,"Activist, organiser, advisor, historian and trainer.",Sydney,,0,1,1,0,1,531
n2,contractsaus,,true,"a:1:{i:0;O:8:""stdClass"":5:{s:11:""screen_name"";s:7:""nbnnews"";s:4:""name"";s:8:""NBN News"";s:2:""id"";i:17332980;s:6:""id_str"";s:8:""17332980"";s:7:""indices"";a:2:{i:0;i:3;i:1;i:11;}}}",350683618,714,468,58,2011-08-08 00:42:49,,"Sydney, Australia",,0,1,1,0,2,531
n3,mighty_ginge,,true,"a:1:{i:0;O:8:""stdClass"":5:{s:11:""screen_name"";s:8:""jamman88"";s:4:""name"";s:15:""Jamie Lovecraft"";s:2:""id"";i:547363905;s:6:""id_str"";s:9:""547363905"";s:7:""indices"";a:2:{i:0;i:170;i:1;i:179;}}}",19003671,48471,332,2878,2009-01-14 19:34:25,"Future Martian, Author, Cave Diver, Keynote Speaker, Troublemaker",Home is where your ukulele is,1,0,1,1,1,4,589
n4,offtherails13,,true,"a:1:{i:0;O:8:""stdClass"":5:{s:11:""screen_name"";s:13:""TAFEeducation"";s:4:""name"";s:11:""Adam Curlis"";s:2:""id"";i:2336306731;s:6:""id_str"";s:10:""2336306731"";s:7:""indices"";a:2:{i:0;i:3;i:1;i:17;}}}",2164677002,28554,1862,1069,2013-10-30 08:20:56,"Political junkie, sometime public servant, lifelong observer of the utter absurdity of the human condition - but hopeful that things can improve.","Central Coast, NSW, Australia.",,0,0,0,2,5,0
n5,sotrickey,,true,"a:1:{i:0;O:8:""stdClass"":5:{s:11:""screen_name"";s:13:""TAFEeducation"";s:4:""name"";s:11:""Adam Curlis"";s:2:""id"";i:2336306731;s:6:""id_str"";s:10:""2336306731"";s:7:""indices"";a:2:{i:0;i:3;i:1;i:17;}}}",857554031425617920,6932,502,174,2017-04-27 07:16:28,"Irish Australian passionate about social justice and climate change. Listening, learning and finding my political voice again.","New South Wales, Australia",,0,0,0,3,6,1
n6,shitgreat65,,true,"a:2:{i:0;O:8:""stdClass"":5:{s:11:""screen_name"";s:9:""ide_group"";s:4:""name"";s:9:""IDE Group"";s:2:""id"";i:480888605;s:6:""id_str"";s:9:""480888605"";s:7:""indices"";a:2:{i:0;i:3;i:1;i:13;}}i:1;O:8:""stdClass"":5:{s:11:""screen_name"";s:9:""ide_group"";s:4:""name"";s:9:""IDE Group"";s:2:""id"";i:480888605;s:6:""id_str"";s:9:""480888605"";s:7:""indices"";a:2:{i:0;i:70;i:1;i:80;}}}",976492884139692033,752,30,30,2018-03-21 12:17:00,Coin collector and hobby investor,"Derby, England",,0,1,1,4,8,587
n7,neil_daws,,true,"a:4:{i:0;O:8:""stdClass"":5:{s:11:""screen_name"";s:11:""YallopDiana"";s:4:""name"";s:12:""Diana Yallop"";s:2:""id"";i:863356087486996480;s:6:""id_str"";s:18:""863356087486996480"";s:7:""indices"";a:2:{i:0;i:0;i:1;i:12;}}i:1;O:8:""stdClass"":5:{s:11:""screen_name"";s:13:""PressClubAust"";s:4:""name"";s:19:""National Press Club"";s:2:""id"";i:22439643;s:6:""id_str"";s:8:""22439643"";s:7:""indices"";a:2:{i:0;i:13;i:1;i:27;}}i:2;O:8:""stdClass"":5:{s:11:""screen_name"";s:7:""abcnews"";s:4:""name"";s:8:""ABC News"";s:2:""id"";i:2768501;s:6:""id_str"";s:7:""2768501"";s:7:""indices"";a:2:{i:0;i:28;i:1;i:36;}}i:3;O:8:""stdClass"":5:{s:11:""screen_name"";s:11:""SkyNewsAust"";s:4:""name"";s:18:""Sky News Australia"";s:2:""id"";i:16834659;s:6:""id_str"";s:8:""16834659"";s:7:""indices"";a:2:{i:0;i:37;i:1;i:49;}}}",703741154613792768,5019,418,74,2016-02-27 19:39:00,,,,0,4,4,0,13,588
n8,frygerard,,true,"a:1:{i:0;O:8:""stdClass"":5:{s:11:""screen_name"";s:15:""MThistlethwaite"";s:4:""name"";s:19:""Matt Thistlethwaite"";s:2:""id"";i:87395643;s:6:""id_str"";s:8:""87395643"";s:7:""indices"";a:2:{i:0;i:3;i:1;i:19;}}}",2454513962,341518,4213,3037,2014-04-20 05:03:45,"single dad, Nth Qld Cowboy NRL fan it's time to expose this hypocritical gov &one nation🤡= lnp .I Support ssm.Sorry don’t really converse much and retweetoften",Bindal Country,,0,0,0,5,14,2
n9,judehaste_write,,true,"a:1:{i:0;O:8:""stdClass"":5:{s:11:""screen_name"";s:12:""Trevor8Hobbs"";s:4:""name"";s:12:""Trevor Hobbs"";s:2:""id"";i:97777729;s:6:""id_str"";s:8:""97777729"";s:7:""indices"";a:2:{i:0;i:3;i:1;i:16;}}}",751722272646434820,1192685,8445,20179,2016-07-09 06:18:51,"#Creative #Writer 🇬🇧 𝙌𝙪𝙞𝙧𝙠𝙮 #Comedy  Dash of #Romance on Amazon #MentalHealthMatters ꜱᴛᴏᴘ ᴡᴏʀᴋᴘʟᴀᴄᴇ ʙᴜʟʟʏɪɴɢ 𝔹𝕖 𝕜𝕚𝕟𝕕 𝕥𝕠 𝕪𝕠𝕦𝕣 𝕞𝕚𝕟𝕕 x","England, United Kingdom",,0,0,0,6,15,3
n10,ireneshanks2,,true,a:0:{},1300336904009707521,3402,138,31,2020-08-31 03:38:50,"BA. English & History, GradDip Traveller; writer; masters swimmer; Author:  ""On Board HMB Endeavour with its Captain James Cook""",Far North Queensland,,0,0,0,7,16,4
n11,khetigaadi,,true,a:0:{},4713350294,4475,4943,760,2016-01-05 06:32:53,"Knowledge based Advisory platform to Buy, Sell, Rent & Hire #Tractors & #Farm Mechanisation Equipment.",India,,0,0,0,8,17,5
n12,bbox,,true,"a:2:{i:0;O:8:""stdClass"":5:{s:11:""screen_name"";s:9:""DLoweryAU"";s:4:""name"";s:28:""QuietlyInsistent 🐀🌡️"";s:2:""id"";i:733479811268542464;s:6:""id_str"";s:18:""733479811268542464"";s:7:""indices"";a:2:{i:0;i:3;i:1;i:13;}}i:1;O:8:""stdClass"":5:{s:11:""screen_name"";s:12:""sacdefromage"";s:4:""name"";s:11:""Lara_M_Arts"";s:2:""id"";i:907392421956247552;s:6:""id_str"";s:18:""907392421956247552"";s:7:""indices"";a:2:{i:0;i:15;i:1;i:28;}}}",4755321,159254,2399,1584,2007-04-15 09:13:04,Coffee appreciator/ Music for pleasure/ Garage creative/ Social justice armchair warrior/ Dad/ Broadcaster since 1994. I have some theories...,"Melbs, Australia",,0,1,1,9,19,6
n13,wonderi39063030,,true,"a:2:{i:0;O:8:""stdClass"":5:{s:11:""screen_name"";s:13:""TAFEeducation"";s:4:""name"";s:11:""Adam Curlis"";s:2:""id"";i:2336306731;s:6:""id_str"";s:10:""2336306731"";s:7:""indices"";a:2:{i:0;i:3;i:1;i:17;}}i:1;O:8:""stdClass"":5:{s:11:""screen_name"";s:11:""JodiMcKayMP"";s:4:""name"";s:10:""Jodi McKay"";s:2:""id"";i:2495851202;s:6:""id_str"";s:10:""2495851202"";s:7:""indices"";a:2:{i:0;i:20;i:1;i:32;}}}",1095601710913843201,35074,4968,565,2019-02-13 03:32:57,"Flood,Drought,Fire,Virus,Injury=you TO can end up homeless. Following and(a lot of)Re/tweeting info from worldwide-Media-Science-Nature-Music-Tweeters-FYI only",Australia,,0,4,4,0,23,531
n14,watchingtvnfilm,,true,a:0:{},1359131601611980808,1729,69,28,2021-02-09 08:26:58,Just here to talk about TV and films. Not much else to do in a pandemic is there? Spring Is Coming. We can get through this 🌸🌻🐣🐇 Cover: Mollie Sivaram,UK,,0,0,0,10,24,7
n15,uptownerd,,true,"a:1:{i:0;O:8:""stdClass"":5:{s:11:""screen_name"";s:8:""Utopiana"";s:4:""name"";s:14:""Celeste Liddle"";s:2:""id"";i:9950542;s:6:""id_str"";s:7:""9950542"";s:7:""indices"";a:2:{i:0;i:0;i:1;i:9;}}}",73613523,9329,230,359,2009-09-12 06:06:39,"On Whadjuk Noongar land. Always was, always will be. BLM. Ally 🏳️‍🌈🌱☮️🌏🤗 Sewer rat 🐁 She/Her","Perth, WA",,0,1,1,0,26,9
n16,judith54nunn,,true,"a:1:{i:0;O:8:""stdClass"":5:{s:11:""screen_name"";s:8:""Utopiana"";s:4:""name"";s:14:""Celeste Liddle"";s:2:""id"";i:9950542;s:6:""id_str"";s:7:""9950542"";s:7:""indices"";a:2:{i:0;i:3;i:1;i:12;}}}",2337866346,53323,2871,2853,2014-02-11 01:28:01,Living on Whadjuk Land Climate Change is real Human Rights,Western Australia,,0,0,0,11,27,8
n17,utopiana,,true,"a:1:{i:0;O:8:""stdClass"":5:{s:11:""screen_name"";s:11:""TheRedRobyn"";s:4:""name"";s:38:""hey media, the words LIES & LIAR exist"";s:2:""id"";i:2459812171;s:6:""id_str"";s:10:""2459812171"";s:7:""indices"";a:2:{i:0;i:0;i:1;i:12;}}}",9950542,19754,3062,41277,2007-11-04 18:50:06,"Arrernte, Unionist, feminist, @EurekaStreet column, freelance commentator. Accidentally anarchic. Middle-aged punk. Views on this acc my own. Always ANTIFA.","Melbourne, Australia",1,14,1,15,0,25,9
n18,sinman_84,,true,a:0:{},1319533864058900481,145,206,14,2020-10-23 03:05:18,,,,0,0,0,12,28,10
n19,maestropetals,,true,a:0:{},324867138,10313,988,4587,2011-06-27 06:34:39,AIR BORNE,Lagos,,0,0,0,13,29,11
n20,jackie38290093,,true,a:0:{},1306323929590648834,207,85,60,2020-09-16 16:07:59,Eyo eyo 🦑,,,0,0,0,14,30,12
n21,thegreatdagmaru,,true,"a:1:{i:0;O:8:""stdClass"":5:{s:11:""screen_name"";s:12:""Trevor8Hobbs"";s:4:""name"";s:12:""Trevor Hobbs"";s:2:""id"";i:97777729;s:6:""id_str"";s:8:""97777729"";s:7:""indices"";a:2:{i:0;i:3;i:1;i:16;}}}",2432415806,28229,6209,6561,2014-04-07 14:13:32,"Author of The Great Dagmaru 🎩 #Gothic #paranormal #romance series, mother, editor, coffee addict, always looking for the funny in life.","Ontario, Canada",,0,0,0,15,31,13
n22,chaos_emulator,,true,"a:1:{i:0;O:8:""stdClass"":5:{s:11:""screen_name"";s:8:""Utopiana"";s:4:""name"";s:14:""Celeste Liddle"";s:2:""id"";i:9950542;s:6:""id_str"";s:7:""9950542"";s:7:""indices"";a:2:{i:0;i:0;i:1;i:9;}}}",1025278811540152320,188,387,56,2018-08-03 03:14:52,"Anthro Hons student. Inequities, health, environment, gender, geographies of belonging. They/Her. Living on unceded Wurundjeri land.","Melbourne, Victoria",,0,1,1,0,32,9
n23,clairendestine,,true,"a:1:{i:0;O:8:""stdClass"":5:{s:11:""screen_name"";s:8:""Utopiana"";s:4:""name"";s:14:""Celeste Liddle"";s:2:""id"";i:9950542;s:6:""id_str"";s:7:""9950542"";s:7:""indices"";a:2:{i:0;i:0;i:1;i:9;}}}",369066758,1059,289,101,2011-09-06 14:15:59,🖤 Avatar of Wrath | Rage with the Fire of a Thousand Suns | Social Justice Warlock | She/her | DMs open 🖤,Whadjuk Noongar Country,,0,1,1,0,33,9
n24,flight_refunds,,true,"a:2:{i:0;O:8:""stdClass"":5:{s:11:""screen_name"";s:14:""chaos_emulator"";s:4:""name"";s:16:""Memento Moriarty"";s:2:""id"";i:1025278811540152320;s:6:""id_str"";s:19:""1025278811540152320"";s:7:""indices"";a:2:{i:0;i:3;i:1;i:18;}}i:1;O:8:""stdClass"":5:{s:11:""screen_name"";s:8:""Utopiana"";s:4:""name"";s:14:""Celeste Liddle"";s:2:""id"";i:9950542;s:6:""id_str"";s:7:""9950542"";s:7:""indices"";a:2:{i:0;i:20;i:1;i:29;}}}",211830847,925291,385,11915,2010-11-04 07:35:42,"Flight disruption, delay or cancellation in last 6 yrs? Get upto £540 compensation per person. Check your flight at https://t.co/yw8MqfIZr0 and find out in seconds","London, UK",,0,1,1,0,34,9
n25,uguubee,,true,"a:1:{i:0;O:8:""stdClass"":5:{s:11:""screen_name"";s:15:""mariusmontpercy"";s:4:""name"";s:15:""calli 💕 L.D."";s:2:""id"";i:2545735219;s:6:""id_str"";s:10:""2545735219"";s:7:""indices"";a:2:{i:0;i:0;i:1;i:16;}}}",447755723,22829,3988,741,2011-12-27 02:05:00,"25yrs, he/him, Philosophy Honours grad, Into ANIME, PM/Ult/Rivals, Tekken/SF3S, all music genres & Guitar, PuyoPuyoTetris, @metametamonster admin","Perth, Aus キタ━━(・∀・）━━━━━!!",,1,1,2,16,35,265
n26,mainchannel_,,true,"a:1:{i:0;O:8:""stdClass"":5:{s:11:""screen_name"";s:12:""Trevor8Hobbs"";s:4:""name"";s:12:""Trevor Hobbs"";s:2:""id"";i:97777729;s:6:""id_str"";s:8:""97777729"";s:7:""indices"";a:2:{i:0;i:3;i:1;i:16;}}}",2987359185,500595,12683,14984,2015-01-20 10:00:31,The Maximum Exposure Twitter #Promotion #Network for #Indies & #SmallBusiness.  #Books #Authors #Filmmakers #Musicians #Artists #Creatives  DM 4 #Promo Options,United States,,0,0,0,17,36,14
n27,ash_mikala,,true,"a:1:{i:0;O:8:""stdClass"":5:{s:11:""screen_name"";s:12:""Trevor8Hobbs"";s:4:""name"";s:12:""Trevor Hobbs"";s:2:""id"";i:97777729;s:6:""id_str"";s:8:""97777729"";s:7:""indices"";a:2:{i:0;i:3;i:1;i:16;}}}",1290042641875255297,6061,4739,2596,2020-08-02 17:53:28,Writer for Changeling Press #romance #erotica #scifi #fantasy #steampunk https://t.co/CO1aZc7X4V 18+,,,0,0,0,18,37,15
n28,notf4rida,,true,a:0:{},48455759,61552,617,1456,2009-06-18 15:17:16,ignorance to cope man ignorance is bliss,,,1,0,1,19,38,115
